80	RewriteCardinalDigit_Default_Default_SpaceInsertBefore_Default_MarkEndTime	rewriteApplyCardinalDigit.fst,spaceApplyDefault.fst,rewriteApplyDefault.fst		Time
81	RewriteCardinalMagnitude0s_Default_AppendHyphen_Default_Default_Default	rewriteApplyCardinalMagnitude0s.fst,appendApplyHyphen.fst,spaceApplyRemoveBefore.fst,rewriteApplyDefault.fst		
82	RewriteDotToDot_Default_Default_Default_Default_Default	rewriteApplyDotToDot.fst,spaceApplyRemoveBefore.fst,rewriteApplyDefault.fst		
83	RewriteCardinalDecade_Default_AppendComma_SpaceInsertBefore_MarkStartMajorCurrency_Default	rewriteApplyCardinalDecade.fst,appendApplyComma.fst,spaceApplyDefault.fst,rewriteApplyDefault.fst	MajorCurrency	
84	RewriteAbbreviateMeasure_Default_AppendSquare_SpaceInsertBefore_Default_Default	rewriteApplyAbbreviateMeasure.fst,appendApplySquare.fst,spaceApplyDefault.fst,rewriteApplyDefault.fst		
85	Default_Default_Default_SpaceInsertBefore_MarkStartTime_Default	spaceApplyDefault.fst,rewriteApplyDefault.fst	Time	
86	RewriteMajorCurrency_Default_Default_SpaceInsertBefore_Default_MarkEndCurrencyRange	rewriteApplyMajorCurrency.fst,spaceApplyDefault.fst,rewriteApplyDefault.fst		CurrencyRange
87	RewriteCardinalTwoDigit_Default_AppendComma_Default_Default_Default	rewriteApplyCardinalTwoDigit.fst,appendApplyComma.fst,spaceApplyRemoveBefore.fst,rewriteApplyDefault.fst		
88	RewriteCardinalHundred1s_Default_Default_SpaceInsertBefore_Default_Default	rewriteApplyCardinalHundred1s.fst,spaceApplyDefault.fst,rewriteApplyDefault.fst		
89	RewriteCardinalHundred2s_Default_Default_SpaceInsertBefore_MarkStartMajorCurrency_Default	rewriteApplyCardinalHundred2s.fst,spaceApplyDefault.fst,rewriteApplyDefault.fst	MajorCurrency	
90	RewriteDotToPoint_Default_Default_SpaceInsertBefore_Default_Default	rewriteApplyDotToPoint.fst,spaceApplyDefault.fst,rewriteApplyDefault.fst		
91	RewriteCardinalDigit_PrependPointZero_Default_Default_Default_Default	rewriteApplyCardinalDigit.fst,prependApplyPointZero.fst,spaceApplyRemoveBefore.fst,rewriteApplyDefault.fst		
92	RewriteCardinalDecade_PrependPoint_Default_SpaceInsertBefore_MarkStartMajorCurrency_Default	rewriteApplyCardinalDecade.fst,prependApplyPoint.fst,spaceApplyDefault.fst,rewriteApplyDefault.fst	MajorCurrency	
93	RewriteOrdinalDecade_Default_Default_Default_Default_Default	rewriteApplyOrdinalDecade.fst,spaceApplyRemoveBefore.fst,rewriteApplyDefault.fst		
94	RewriteLowercase_PrependPoint_Default_Default_Default_Default	rewriteApplyLowercase.fst,prependApplyPoint.fst,spaceApplyRemoveBefore.fst,rewriteApplyDefault.fst		
95	RewritePluralCardinalMagnitude_Default_Default_Default_Default_Default	rewriteApplyPluralCardinalMagnitude.fst,spaceApplyRemoveBefore.fst,rewriteApplyDefault.fst		
